0	1000	10001	0
0	1000	10002	1
1	1001	10011	2
2	1002	10021	3
2	1002	10022	61
3	1003	10031	4
3	1003	10032	5
3	1003	10033	6
3	1003	10034	7
4	1004	10041	8
4	1004	10042	9
4	1004	10043	10
5	1005	10051	11
6	1006	10061	12
6	1006	10062	13
6	1006	10063	14
7	1007	10071	15
7	1007	10072	16
8	1008	10081	17
8	1008	10082	20
8	1008	10083	21
9	1009	10091	18
9	1009	10092	19
9	1009	10093	22
9	1009	10094	23
10	1010	10101	24
11	1011	10111	25
11	1011	10112	26
11	1011	10113	27
11	1011	10114	31
11	1011	10115	32
11	1011	10116	33
11	1011	10117	34
11	1011	10118	35
11	1011	10119	36
11	1011	101110	37
11	1011	101111	48
11	1011	101112	50
11	1011	101113	52
11	1011	101114	54
11	1011	101115	64
11	1011	101116	65
12	1012	10121	28
12	1012	10122	30
12	1012	10123	40
12	1012	10124	42
12	1012	10125	45
12	1012	10126	46
12	1012	10127	49
12	1012	10128	51
12	1012	10129	55
12	1012	101210	56
12	1012	101211	57
12	1012	101212	66
13	1013	10131	29
13	1013	10131	38
13	1013	10133	47
13	1013	10134	53
13	1013	10135	58
13	1013	10136	62
14	1014	10141	43
14	1014	10142	44
14	1014	10143	59
15	1015	10151	39
15	1015	10152	41
15	1015	10153	60
15	1015	10154	63
